code,first_date,last_date,obs
BJ920132,2025-10-09,2026-07-29,197
BJ920136,2026-07-09,2026-07-29,15
BJ920139,2025-10-09,2026-07-29,197
BJ920145,2025-10-09,2026-07-29,197
BJ920146,2025-10-09,2026-07-29,197
BJ920149,2025-10-09,2026-07-29,197
BJ920152,2025-10-09,2026-07-29,197
BJ920156,2026-04-27,2026-07-29,64
BJ920158,2025-10-16,2026-07-29,192
BJ920159,2026-01-28,2026-07-29,120
BJ920160,2025-11-18,2026-07-29,169
BJ920161,2026-05-27,2026-07-29,45
BJ920163,2025-10-09,2026-07-29,197
BJ920166,2026-02-12,2026-07-29,109
BJ920167,2025-05-06,2026-07-29,236
BJ920168,2026-02-26,2026-07-29,105
BJ920169,2025-10-09,2026-07-29,197
BJ920171,2025-10-09,2026-07-29,197
BJ920174,2025-10-09,2026-07-29,197
BJ920175,2025-10-09,2026-07-29,197
BJ920176,2026-07-27,2026-07-29,3
BJ920177,2026-04-16,2026-07-29,71
BJ920178,2026-05-15,2026-07-29,53
BJ920179,2025-10-09,2026-07-29,192
BJ920180,2026-02-10,2026-07-29,111
BJ920181,2026-04-10,2026-07-29,75
BJ920183,2026-03-04,2026-07-29,101
BJ920184,2025-10-09,2026-07-29,197
BJ920185,2025-10-09,2026-07-29,197
BJ920186,2026-04-29,2026-07-29,62
BJ920187,2026-03-05,2026-07-29,100
BJ920188,2026-03-30,2026-07-29,83
BJ920189,2026-07-08,2026-07-29,16
BJ920190,2025-10-09,2026-07-29,197
BJ920191,2026-04-20,2026-07-29,69
BJ920193,2026-07-02,2026-07-29,20
BJ920195,2025-10-09,2026-07-29,197
BJ920198,2025-10-09,2026-07-29,197
BJ920199,2025-10-09,2026-07-29,197
BJ920200,2026-05-07,2026-07-29,59
BJ920204,2025-10-09,2026-07-29,197
BJ920206,2026-06-08,2026-07-29,37
BJ920207,2025-10-09,2026-07-29,197
BJ920208,2025-10-09,2026-07-29,197
BJ920211,2026-06-05,2026-07-29,38
BJ920212,2025-10-09,2026-07-29,197
BJ920218,2026-06-01,2026-07-29,42
BJ920220,2026-05-22,2026-07-29,48
BJ920221,2025-10-09,2026-07-29,197
BJ920222,2026-06-30,2026-07-29,22
BJ920223,2025-10-09,2026-07-29,197
BJ920225,2025-10-09,2026-07-29,197
BJ920227,2025-10-09,2026-07-29,197
BJ920230,2025-10-09,2026-07-29,197
BJ920237,2025-10-09,2026-07-29,197
BJ920238,2026-07-24,2026-07-29,4
BJ920239,2025-10-09,2026-07-29,197
BJ920242,2025-10-09,2026-07-29,197
BJ920245,2025-10-09,2026-07-29,197
BJ920247,2025-10-09,2026-07-29,197
BJ920249,2025-10-09,2026-07-29,197
BJ920252,2025-10-09,2026-07-29,197
BJ920260,2025-10-09,2026-07-29,197
BJ920261,2025-10-09,2026-07-29,197
BJ920262,2025-10-09,2026-07-29,197
BJ920263,2025-10-09,2026-07-29,197
BJ920266,2025-10-09,2026-07-29,197
BJ920267,2025-10-09,2026-07-29,197
BJ920270,2025-10-09,2026-07-29,197
BJ920271,2025-10-09,2026-07-29,197
BJ920273,2025-10-09,2026-07-29,197
BJ920274,2025-10-09,2026-07-29,197
BJ920275,2025-10-09,2026-07-29,197
BJ920278,2025-10-09,2026-07-29,197
BJ920284,2025-10-09,2026-07-29,197
BJ920299,2025-10-09,2026-07-29,197
BJ920300,2025-10-09,2026-07-29,197
BJ920304,2025-10-09,2026-07-29,197
BJ920305,2025-10-09,2026-07-29,146
BJ920339,2025-10-09,2026-07-29,197
BJ920344,2025-10-09,2026-07-29,197
BJ920346,2025-10-09,2026-07-29,197
BJ920351,2025-10-09,2026-07-29,197
BJ920357,2025-10-09,2026-07-29,197
BJ920363,2025-10-09,2026-07-29,197
BJ920367,2025-10-09,2026-07-29,197
BJ920368,2025-10-09,2026-07-29,197
BJ920370,2025-10-09,2026-07-29,197
BJ920371,2025-10-09,2026-07-29,197
BJ920374,2025-10-09,2026-07-29,197
BJ920375,2025-10-09,2026-07-29,197
BJ920378,2025-10-09,2026-07-29,197
BJ920392,2025-10-09,2026-07-29,197
BJ920394,2025-10-09,2026-07-29,197
BJ920395,2025-10-09,2026-07-29,197
BJ920396,2025-10-09,2026-07-29,197
BJ920402,2025-10-09,2026-07-29,197
BJ920403,2025-10-09,2026-07-29,197
BJ920405,2025-10-09,2026-07-29,197
BJ920407,2025-10-09,2026-07-29,197
BJ920414,2025-10-09,2026-07-29,197
BJ920415,2025-10-09,2026-07-29,197
BJ920418,2025-10-09,2026-07-29,197
BJ920419,2025-10-09,2026-07-29,197
BJ920422,2025-10-09,2026-07-29,197
BJ920425,2025-10-09,2026-07-29,197
BJ920427,2025-10-09,2026-07-29,197
BJ920429,2025-10-09,2026-07-29,197
BJ920433,2025-10-09,2026-07-29,197
BJ920436,2025-10-09,2026-07-29,197
BJ920438,2025-10-09,2026-07-29,197
BJ920445,2025-05-06,2026-07-29,236
BJ920454,2025-10-09,2026-07-29,197
BJ920455,2025-10-09,2026-07-29,197
BJ920469,2025-10-09,2026-07-29,197
BJ920471,2025-10-09,2026-07-29,197
BJ920475,2025-10-09,2026-07-29,197
BJ920476,2025-10-09,2026-07-29,197
BJ920478,2025-10-09,2026-07-29,197
BJ920489,2025-05-06,2026-07-29,236
BJ920491,2025-10-09,2026-07-29,197
BJ920493,2025-10-09,2026-07-29,197
BJ920496,2025-10-09,2026-07-29,197
BJ920504,2025-10-09,2026-07-29,197
BJ920505,2025-10-09,2026-07-29,197
BJ920508,2025-10-09,2026-07-29,197
BJ920509,2025-10-09,2026-07-29,197
BJ920510,2025-10-09,2026-07-29,197
BJ920519,2025-10-09,2026-07-29,197
BJ920522,2025-10-09,2026-07-29,197
BJ920523,2025-10-09,2026-07-29,197
BJ920526,2025-10-09,2026-07-29,197
BJ920527,2025-10-09,2026-07-29,197
BJ920533,2025-10-09,2026-07-29,197
BJ920541,2025-10-09,2026-07-29,197
BJ920547,2025-10-09,2026-07-29,197
BJ920553,2025-10-09,2026-07-29,197
BJ920556,2025-10-09,2026-07-29,197
BJ920564,2025-10-09,2026-07-29,197
BJ920566,2025-10-09,2026-07-29,197
BJ920570,2025-10-09,2026-07-29,197
BJ920571,2025-10-09,2026-07-29,197
BJ920575,2025-10-09,2026-07-29,196
BJ920576,2025-10-09,2026-07-29,197
BJ920578,2025-10-09,2026-07-29,197
BJ920579,2025-10-09,2026-07-29,197
BJ920580,2025-10-09,2026-07-29,197
BJ920592,2025-10-09,2026-07-29,197
BJ920593,2025-10-09,2026-07-29,197
BJ920599,2025-10-09,2026-07-29,197
BJ920608,2025-10-09,2026-07-29,197
BJ920627,2025-10-09,2026-07-29,197
BJ920634,2025-10-09,2026-07-29,197
BJ920639,2025-10-09,2026-07-29,197
BJ920640,2025-10-09,2026-07-29,197
BJ920641,2025-10-09,2026-07-29,192
BJ920642,2025-10-09,2026-07-29,197
BJ920651,2025-10-09,2026-07-29,197
BJ920656,2025-10-09,2026-07-29,197
BJ920662,2025-10-09,2026-07-29,197
BJ920663,2025-10-09,2026-07-29,197
BJ920665,2025-10-09,2026-07-29,197
BJ920670,2025-10-09,2026-07-29,197
BJ920675,2025-10-09,2026-07-29,187
BJ920679,2025-10-09,2026-07-29,197
BJ920680,2025-12-11,2025-12-31,15
BJ920682,2025-05-06,2026-07-29,236
BJ920685,2025-10-09,2026-07-15,187
BJ920689,2025-10-09,2026-07-29,197
BJ920690,2025-10-09,2026-07-29,197
BJ920693,2025-10-09,2026-07-29,197
BJ920694,2025-10-09,2026-07-29,197
BJ920699,2025-10-09,2026-07-29,197
BJ920701,2025-10-09,2026-07-29,197
BJ920703,2025-10-09,2026-07-29,197
BJ920706,2025-10-09,2026-07-29,197
BJ920717,2025-10-09,2026-07-29,197
BJ920718,2025-10-09,2026-07-29,197
BJ920719,2025-10-09,2026-07-29,197
BJ920720,2025-10-09,2026-07-29,197
BJ920725,2025-10-09,2026-07-29,197
BJ920726,2025-10-09,2026-07-29,197
BJ920729,2025-10-09,2026-07-29,197
BJ920735,2025-10-09,2026-07-29,197
BJ920748,2025-10-09,2026-07-29,197
BJ920751,2025-10-09,2026-07-29,197
BJ920753,2025-10-09,2026-07-29,197
BJ920765,2025-10-09,2026-07-29,197
BJ920768,2025-10-09,2026-07-29,197
BJ920770,2025-10-09,2026-07-29,197
BJ920779,2025-10-09,2026-07-29,197
BJ920781,2025-10-09,2026-07-29,197
BJ920786,2025-10-09,2026-07-29,197
BJ920790,2025-10-09,2026-07-29,197
BJ920792,2025-10-09,2026-07-29,197
BJ920799,2025-05-06,2026-07-29,236
BJ920802,2025-10-09,2026-07-29,197
BJ920806,2025-10-09,2026-07-29,197
BJ920807,2025-10-09,2026-07-29,197
BJ920808,2025-10-09,2026-07-29,197
BJ920809,2025-10-09,2026-07-29,197
BJ920810,2025-10-09,2026-07-29,197
BJ920819,2025-05-06,2026-07-29,236
BJ920821,2025-10-09,2026-07-29,197
BJ920826,2025-10-09,2026-07-29,197
BJ920832,2025-10-09,2026-07-29,197
BJ920833,2025-10-09,2026-07-29,197
BJ920834,2025-10-09,2026-07-29,197
BJ920837,2025-10-09,2026-07-29,197
BJ920839,2025-10-09,2026-07-29,197
BJ920855,2025-10-09,2026-07-29,197
BJ920856,2025-10-09,2026-07-29,197
BJ920857,2025-10-09,2026-07-29,197
BJ920866,2025-10-09,2026-07-29,197
BJ920870,2025-10-09,2026-07-29,197
BJ920871,2025-10-09,2026-07-29,197
BJ920873,2025-10-09,2026-07-29,197
BJ920876,2025-10-09,2026-07-29,197
BJ920879,2025-10-09,2026-07-29,197
BJ920885,2025-10-09,2026-07-29,197
BJ920892,2025-10-09,2026-07-29,197
BJ920895,2025-10-09,2026-07-29,197
BJ920896,2025-10-09,2026-07-29,197
BJ920906,2025-10-09,2026-07-29,197
BJ920914,2025-10-09,2026-07-29,197
BJ920924,2025-10-09,2026-07-29,197
BJ920925,2025-10-09,2026-07-29,197
BJ920926,2025-10-09,2026-07-29,197
BJ920931,2025-10-09,2026-07-29,197
BJ920932,2025-10-09,2026-07-29,197
BJ920942,2025-10-09,2026-07-29,197
BJ920943,2025-10-09,2026-07-29,197
BJ920946,2025-10-09,2026-07-29,197
BJ920950,2025-10-09,2026-07-29,197
BJ920953,2025-10-09,2026-07-29,197
BJ920957,2025-10-09,2026-07-29,197
BJ920961,2025-10-09,2026-07-29,197
BJ920964,2025-10-09,2026-07-29,197
BJ920970,2025-10-09,2026-07-29,197
BJ920971,2025-10-09,2026-07-29,197
BJ920974,2025-10-09,2026-07-29,197
BJ920976,2025-10-09,2026-07-29,197
BJ920978,2025-10-09,2026-07-29,197
BJ920981,2025-10-09,2026-07-29,197
BJ920982,2025-10-09,2026-07-29,197
BJ920985,2025-10-09,2026-07-29,197
BJ920992,2025-10-09,2026-07-29,197
SH600000,2000-01-04,2026-07-29,6320
SH600001,2000-01-04,2009-12-15,2282
SH600002,2000-01-04,2006-04-06,1485
SH600003,2000-01-04,2009-03-13,2154
SH600004,2003-04-28,2026-07-29,5597
SH600005,2000-01-04,2017-01-23,3961
SH600006,2000-01-04,2026-07-29,6327
SH600007,2000-01-04,2026-07-29,6382
SH600008,2000-04-27,2026-07-29,6270
SH600009,2000-01-04,2026-07-29,6381
SH600010,2001-03-09,2026-07-29,6042
SH600011,2001-12-06,2026-07-29,5907
SH600012,2003-01-07,2026-07-29,5654
SH600015,2003-09-12,2026-07-29,5456
SH600016,2000-12-19,2026-07-29,6145
SH600017,2006-10-17,2026-07-29,4769
SH600018,2006-10-26,2026-07-29,4727
SH600019,2000-12-12,2026-07-29,6057
SH600020,2003-08-08,2026-07-29,5497
SH600021,2003-10-29,2026-07-29,5363
SH600022,2004-06-29,2026-07-29,5026
SH600023,2013-12-19,2026-07-29,3065
SH600025,2017-12-15,2026-07-29,2090
SH600026,2002-05-23,2026-07-29,5714
SH600027,2005-02-03,2026-07-29,5148
SH600028,2001-08-08,2026-07-29,6006
SH600029,2003-07-25,2026-07-29,5487
SH600030,2003-01-06,2026-07-29,5622
SH600031,2003-07-03,2026-07-29,5555
SH600032,2021-05-25,2026-07-29,1257
SH600033,2001-02-09,2026-07-29,6135
SH600035,2004-03-10,2026-07-29,5217
SH600036,2002-04-09,2026-07-29,5828
SH600037,2001-02-08,2026-07-29,6105
SH600038,2000-12-18,2026-07-29,6044
SH600039,2003-03-25,2026-07-29,5524
SH600048,2006-07-31,2026-07-29,4834
SH600050,2002-10-09,2026-07-29,5641
SH600051,2000-01-04,2026-07-29,6227
SH600052,2000-01-04,2026-07-29,6114
SH600053,2000-01-04,2026-07-29,5890
SH600054,2000-01-04,2026-07-29,6371
SH600055,2000-01-04,2026-07-29,6218
SH600056,2000-01-04,2026-07-29,6234
SH600057,2000-01-04,2026-07-29,5751
SH600058,2000-01-04,2026-07-29,6179
SH600059,2000-01-04,2026-07-29,6382
SH600060,2000-01-04,2026-07-29,6374
SH600061,2000-01-04,2026-07-29,6239
SH600062,2000-01-04,2026-07-29,6321
SH600063,2000-01-04,2026-07-29,6306
SH600064,2000-01-04,2026-07-29,6370
SH600065,2000-01-04,2006-02-21,1452
